GVKEY,datadate,fyear,indfmt,consol,popsrc,datafmt,curcd,at,ch,dt,ebit,fincf,ivncf,ni,oancf,tfva,costat
001239,20100930,2010,INDL,C,D,STD,USD,1878.2750,301.9780,150.422,235.3420,105.2080,-409.1780,155.3100,137.4710,236.8580,I
001254,20101231,2010,INDL,C,D,STD,USD,2495.0000,14.0000,522,109.0000,-2.0000,-150.0000,92.0000,150.0000,,A
001254,20111231,2011,INDL,C,D,STD,USD,2544.0000,22.0000,559,114.0000,-7.0000,-71.0000,34.0000,86.0000,,A
001254,20121231,2012,INDL,C,D,STD,USD,1174.3000,19.9000,319.1,104.2000,-40.6000,-25.1000,45.9000,64.1000,194.6000,A
001254,20131231,2013,INDL,C,D,STD,USD,1248.3000,114.5000,286.1,102.3000,-61.1000,-40.0000,53.7000,195.7000,296.8000,A
001254,20141231,2014,INDL,C,D,STD,USD,1401.8000,293.4000,373.6,133.4000,63.7000,-50.5000,70.8000,165.7000,491.0000,A
001254,20151231,2015,INDL,C,D,STD,USD,1669.8000,25.5000,429.9,212.1000,-449.4000,-63.8000,103.0000,245.3000,239.8000,A
001254,20161231,2016,INDL,C,D,STD,USD,2015.5000,13.9000,738.9,140.4000,151.3000,-320.7000,80.5000,157.8000,234.6000,A
001257,20101231,2010,INDL,C,D,STD,USD,1679.3000,397.2200,1246.411,123.5630,-72.1430,-19.3930,66.4290,76.0220,23.0000,A
001257,20111231,2011,INDL,C,D,STD,USD,1771.3070,506.6190,1330.932,130.9280,16.5020,0.3830,79.4230,92.5140,5.0000,A
001257,20121231,2012,INDL,C,D,STD,USD,1481.8100,353.3960,1065.916,95.5800,-973.0070,710.0770,674.3870,109.7070,31.2060,A
001257,20131231,2013,INDL,C,D,STD,USD,1457.7240,347.7180,1049.959,97.5160,-72.2410,-7.3200,56.9150,73.8830,31.5220,A
001257,20141231,2014,INDL,C,D,STD,USD,1423.2160,227.8150,1032.78,96.6890,-87.8700,-81.5200,67.9250,49.4870,69.6550,A
001257,20151231,2015,INDL,C,D,STD,USD,1447.8080,259.3490,1053.262,95.2050,-48.8390,-25.8280,76.9070,106.2010,43.1910,A
001257,20161231,2016,INDL,C,D,STD,USD,1451.2300,288.9260,1052.359,105.4610,-85.2920,-15.9510,86.4770,130.8200,37.9180,A
001266,20100930,2010,INDL,C,D,STD,USD,188.8170,10.9260,73.46,3.4650,-8.3120,-6.6690,-0.6230,7.1130,,A
001266,20110930,2011,INDL,C,D,STD,USD,180.0350,1.3360,57.158,15.2370,-18.2440,-8.0930,7.0970,16.7470,1.1090,A
001266,20120930,2012,INDL,C,D,STD,USD,185.0830,13.3280,39.9,23.7420,-19.3200,7.6780,18.4890,23.6340,,A
001266,20130930,2013,INDL,C,D,STD,USD,198.8400,24.5830,36,13.7510,-8.8420,6.6710,19.6460,13.4260,,A
001266,20140930,2014,INDL,C,D,STD,USD,203.5670,30.7790,35.097,10.1560,-9.9280,-12.7280,8.0500,28.8520,,A
001266,20150930,2015,INDL,C,D,STD,USD,460.5800,7.3600,206.746,32.7020,130.8730,-188.3990,15.7640,33.8660,,A
001266,20160930,2016,INDL,C,D,STD,USD,458.6620,6.6250,202.807,23.2440,-16.1720,-13.0340,6.9930,30.3570,,A
001266,20170930,2017,INDL,C,D,STD,USD,419.1820,3.3950,184.709,-1.7670,-21.3740,-10.0850,-9.4510,28.2290,,A
001274,20101231,2010,INDL,C,D,STD,USD,6431.6990,76.7410,298.923,287.2690,213.8680,-230.5210,198.5020,60.8680,4622.7000,A
001274,20111231,2011,INDL,C,D,STD,USD,6478.0890,84.7490,299.035,249.3630,-119.4370,33.8040,143.2510,93.6410,4670.6000,A
001274,20121231,2012,INDL,C,D,STD,USD,22807.9670,649.5240,1811.483,337.9600,387.9280,-313.6600,702.2440,495.8540,17831.8000,A
001274,20131231,2013,INDL,C,D,STD,USD,23361.0880,498.3150,1794.407,859.9760,-70.6060,-620.5540,628.4210,583.8600,18632.2000,A
001274,20141231,2014,INDL,C,D,STD,USD,23489.4360,605.2590,1767.125,1003.9610,-302.0750,51.0350,679.2390,372.7790,18153.8000,A
001274,20151231,2015,INDL,C,D,STD,USD,22846.3330,475.2670,1390.34,851.3460,-608.7830,171.6580,557.7150,325.9780,17007.6000,A
001274,20161231,2016,INDL,C,D,STD,USD,23756.5910,594.0910,1476.489,688.9040,-17.4140,-672.7270,456.9210,792.9270,16899.2000,A
001279,20101231,2010,INDL,C,D,STD,USD,12075.8000,490.2000,,926.8000,13.2000,-625.6000,411.7000,816.0000,134.3000,I
001300,20101231,2010,INDL,C,D,STD,USD,37834.0000,,6278,3734.0000,-2047.0000,-2269.0000,2022.0000,4203.0000,362.0000,A
001300,20111231,2011,INDL,C,D,STD,USD,39808.0000,,6896,3317.0000,-1114.0000,-611.0000,2067.0000,2833.0000,520.0000,A
