"","Company code","Report date","Fiscal year","Earnings","Cash Flow","Leverage Ratio(Book-based)","Leverage Ration(Market-based)"
"5145",8530,20111231,2011,10009,1833,0.185833129434793,1.07767050186619
"5146",8530,20121231,2012,14570,7209,0.180222607347765,0.927613718211535
"5147",8530,20131231,2013,22003,-7835,0.188970430154386,NA
"5148",8530,20141231,2014,9136,1243,0.204118766024316,NA
"5149",8530,20151231,2015,6960,1298,0.194303117162307,NA
"5150",8530,20161231,2016,7215,-831,0.207575095417067,NA
"5151",8539,20101231,2010,2563,-398,NA,NA
"5152",8539,20111231,2011,2495,-596,NA,NA
"5153",8539,20121231,2012,1160,470,NA,NA
"5154",8539,20131231,2013,1719,123,NA,NA
"5155",8539,20141231,2014,1623,269,NA,NA
"5156",8539,20151231,2015,2269,4624,NA,NA
"5157",8539,20161231,2016,1134,-5867,NA,NA
"5158",8542,20101231,2010,123.975,-15.935,0.383155807807849,NA
"5159",8542,20111231,2011,143.069,2.26999999999998,0.339407416946845,NA
"5160",8542,20121231,2012,196.563,-2.68300000000005,0.327052884655956,NA
"5161",8542,20131231,2013,221.3,-0.462999999999965,0.307784506050001,NA
"5162",8542,20141231,2014,233.239,-0.919999999999959,0.299490340966258,NA
"5163",8542,20151231,2015,201.79,-0.909000000000049,0.309909984919103,NA
"5164",8542,20161231,2016,234.182,0.533999999999992,0.306588530491439,NA
"5165",8543,20101231,2010,3905,443,0.326025346238169,NA
"5166",8543,20111231,2011,3390,956,0.370353335858449,NA
"5167",8543,20121231,2012,4180,-370,0.392821761159387,NA
"5168",8543,20131231,2013,4535,275,0.416449123612267,NA
"5169",8543,20141231,2014,5070,146,0.426192893401015,NA
"5170",8543,20151231,2015,5241,-952,0.397080067619487,NA
"5171",8543,20161231,2016,14239,2200,0.302207611251415,NA
"5172",8544,20101231,2010,920.568,-30.7879999999998,0.322837124568636,115.284198113208
"5173",8544,20111231,2011,723.959,212.252,0.2885912828506,116.391636168883
